X1 	 -73 X2 	 -836 	 Y1 	 1778 Y2 2133 	 Z1 	 -284 Z2 	 -160 
X1 	 -352 X2 	 -1163 	 Y1 	 1976 Y2 2228 	 Z1 	 -265 Z2 	 77 
X1 	 -275 X2 	 -1655 	 Y1 	 1943 Y2 2509 	 Z1 	 -369 Z2 	 298 
X1 	 -1309 X2 	 -907 	 Y1 	 2187 Y2 2414 	 Z1 	 1402 Z2 	 677 
X1 	 -360 X2 	 -408 	 Y1 	 1499 Y2 2200 	 Z1 	 -262 Z2 	 774 
X1 	 27 X2 	 -3035 	 Y1 	 1089 Y2 1923 	 Z1 	 -516 Z2 	 -1633 
X1 	 -694 X2 	 185 	 Y1 	 1241 Y2 1407 	 Z1 	 31 Z2 	 -2632 
X1 	 -728 X2 	 -2428 	 Y1 	 907 Y2 871 	 Z1 	 30 Z2 	 425 
X1 	 -751 X2 	 -123 	 Y1 	 859 Y2 845 	 Z1 	 -2 Z2 	 641 
X1 	 -625 X2 	 -1524 	 Y1 	 432 Y2 630 	 Z1 	 -21 Z2 	 187 
X1 	 -643 X2 	 1279 	 Y1 	 485 Y2 538 	 Z1 	 -8 Z2 	 221 
X1 	 -434 X2 	 107 	 Y1 	 528 Y2 680 	 Z1 	 -39 Z2 	 48 
X1 	 -466 X2 	 -707 	 Y1 	 464 Y2 559 	 Z1 	 -17 Z2 	 1521 
X1 	 -444 X2 	 -495 	 Y1 	 235 Y2 329 	 Z1 	 -30 Z2 	 991 
X1 	 -265 X2 	 530 	 Y1 	 297 Y2 151 	 Z1 	 -264 Z2 	 766 
X1 	 -306 X2 	 247 	 Y1 	 44 Y2 66 	 Z1 	 -6 Z2 	 -18 
X1 	 -78 X2 	 416 	 Y1 	 60 Y2 213 	 Z1 	 -139 Z2 	 1191 
X1 	 -114 X2 	 461 	 Y1 	 99 Y2 279 	 Z1 	 -9 Z2 	 185 
X1 	 -63 X2 	 248 	 Y1 	 93 Y2 364 	 Z1 	 0 Z2 	 390 
X1 	 -48 X2 	 -136 	 Y1 	 59 Y2 352 	 Z1 	 -4 Z2 	 552 
X1 	 -74 X2 	 53 	 Y1 	 6 Y2 135 	 Z1 	 65 Z2 	 -94 
X1 	 -142 X2 	 960 	 Y1 	 37 Y2 97 	 Z1 	 20 Z2 	 328 
X1 	 -345 X2 	 984 	 Y1 	 73 Y2 238 	 Z1 	 -1 Z2 	 329 
X1 	 -506 X2 	 -863 	 Y1 	 246 Y2 185 	 Z1 	 -8 Z2 	 -85 
X1 	 -438 X2 	 62 	 Y1 	 242 Y2 255 	 Z1 	 2 Z2 	 707 
X1 	 -576 X2 	 871 	 Y1 	 526 Y2 579 	 Z1 	 -18 Z2 	 1063 
X1 	 -686 X2 	 -661 	 Y1 	 382 Y2 517 	 Z1 	 -17 Z2 	 -153 
X1 	 -536 X2 	 -810 	 Y1 	 597 Y2 563 	 Z1 	 -26 Z2 	 725 
X1 	 -545 X2 	 1962 	 Y1 	 718 Y2 1252 	 Z1 	 153 Z2 	 -3870 
X1 	 -905 X2 	 -599 	 Y1 	 1193 Y2 1924 	 Z1 	 31 Z2 	 -625 
X1 	 -405 X2 	 -258 	 Y1 	 1226 Y2 2447 	 Z1 	 -170 Z2 	 404 
X1 	 -266 X2 	 -2760 	 Y1 	 1367 Y2 2575 	 Z1 	 -191 Z2 	 -1090 
X1 	 -161 X2 	 -1618 	 Y1 	 1550 Y2 2130 	 Z1 	 -17 Z2 	 695 
X1 	 233 X2 	 -2320 	 Y1 	 1572 Y2 2131 	 Z1 	 -291 Z2 	 1826 
X1 	 45 X2 	 159 	 Y1 	 1519 Y2 2301 	 Z1 	 119 Z2 	 -1072 
X1 	 447 X2 	 -1582 	 Y1 	 1629 Y2 2490 	 Z1 	 -363 Z2 	 -1620 
X1 	 268 X2 	 -832 	 Y1 	 1752 Y2 2429 	 Z1 	 -119 Z2 	 486 
X1 	 431 X2 	 -1542 	 Y1 	 1620 Y2 2138 	 Z1 	 70 Z2 	 -421 
X1 	 835 X2 	 -12313 	 Y1 	 2190 Y2 1851 	 Z1 	 -910 Z2 	 4147 
X1 	 486 X2 	 -180 	 Y1 	 1651 Y2 1976 	 Z1 	 -208 Z2 	 -116 
X1 	 475 X2 	 -235 	 Y1 	 1502 Y2 1899 	 Z1 	 -142 Z2 	 138 
X1 	 535 X2 	 -1006 	 Y1 	 1540 Y2 2050 	 Z1 	 -233 Z2 	 84 
X1 	 393 X2 	 -1299 	 Y1 	 1623 Y2 1949 	 Z1 	 -201 Z2 	 338 
X1 	 240 X2 	 -121 	 Y1 	 1874 Y2 2279 	 Z1 	 -298 Z2 	 1210 
X1 	 -60 X2 	 -708 	 Y1 	 1841 Y2 1986 	 Z1 	 -193 Z2 	 -247 
X1 	 -260 X2 	 -336 	 Y1 	 1964 Y2 1759 	 Z1 	 -259 Z2 	 439 
X1 	 -222 X2 	 -2054 	 Y1 	 1982 Y2 1983 	 Z1 	 -227 Z2 	 62 
X1 	 -251 X2 	 -1120 	 Y1 	 2061 Y2 2082 	 Z1 	 -262 Z2 	 573 
X1 	 -631 X2 	 2087 	 Y1 	 1702 Y2 2369 	 Z1 	 34 Z2 	 1049 
X1 	 -613 X2 	 148 	 Y1 	 1646 Y2 2820 	 Z1 	 -380 Z2 	 2403 
X1 	 -878 X2 	 -1081 	 Y1 	 1106 Y2 1852 	 Z1 	 54 Z2 	 -1073 
X1 	 -940 X2 	 213 	 Y1 	 1314 Y2 1529 	 Z1 	 -307 Z2 	 -138 
X1 	 -629 X2 	 -173 	 Y1 	 747 Y2 577 	 Z1 	 100 Z2 	 -957 
X1 	 -718 X2 	 -718 	 Y1 	 531 Y2 467 	 Z1 	 -11 Z2 	 -1069 
X1 	 -461 X2 	 -258 	 Y1 	 454 Y2 737 	 Z1 	 128 Z2 	 -548 
X1 	 -464 X2 	 -1585 	 Y1 	 438 Y2 595 	 Z1 	 -39 Z2 	 3321 
X1 	 -567 X2 	 1179 	 Y1 	 156 Y2 521 	 Z1 	 68 Z2 	 -751 
X1 	 -218 X2 	 2393 	 Y1 	 131 Y2 248 	 Z1 	 -146 Z2 	 811 
X1 	 -189 X2 	 -197 	 Y1 	 121 Y2 151 	 Z1 	 -4 Z2 	 -107 
X1 	 -138 X2 	 -158 	 Y1 	 102 Y2 72 	 Z1 	 32 Z2 	 226 
X1 	 -193 X2 	 -282 	 Y1 	 73 Y2 56 	 Z1 	 66 Z2 	 499 
X1 	 -282 X2 	 38 	 Y1 	 56 Y2 169 	 Z1 	 16 Z2 	 112 
X1 	 -358 X2 	 660 	 Y1 	 131 Y2 174 	 Z1 	 -17 Z2 	 370 
X1 	 -686 X2 	 180 	 Y1 	 345 Y2 202 	 Z1 	 -59 Z2 	 394 
X1 	 -442 X2 	 1085 	 Y1 	 311 Y2 150 	 Z1 	 89 Z2 	 442 
X1 	 -429 X2 	 168 	 Y1 	 263 Y2 269 	 Z1 	 110 Z2 	 -522 
X1 	 -401 X2 	 -837 	 Y1 	 548 Y2 526 	 Z1 	 40 Z2 	 381 
X1 	 -554 X2 	 -87 	 Y1 	 523 Y2 431 	 Z1 	 259 Z2 	 -877 
X1 	 -566 X2 	 -494 	 Y1 	 624 Y2 495 	 Z1 	 81 Z2 	 385 
X1 	 -499 X2 	 -255 	 Y1 	 1029 Y2 942 	 Z1 	 -389 Z2 	 3755 
X1 	 -696 X2 	 -1355 	 Y1 	 1020 Y2 1379 	 Z1 	 -70 Z2 	 286 
X1 	 -590 X2 	 -357 	 Y1 	 1158 Y2 1713 	 Z1 	 -90 Z2 	 454 
X1 	 -537 X2 	 -1081 	 Y1 	 1357 Y2 2181 	 Z1 	 -60 Z2 	 208 
X1 	 -391 X2 	 -1294 	 Y1 	 1608 Y2 2266 	 Z1 	 37 Z2 	 1756 
X1 	 -303 X2 	 -5512 	 Y1 	 1737 Y2 1795 	 Z1 	 -181 Z2 	 -2504 
X1 	 8 X2 	 -89 	 Y1 	 1687 Y2 1997 	 Z1 	 -135 Z2 	 -71 
X1 	 132 X2 	 -1572 	 Y1 	 1475 Y2 2091 	 Z1 	 13 Z2 	 -1389 
X1 	 148 X2 	 -1424 	 Y1 	 1615 Y2 1943 	 Z1 	 -167 Z2 	 -43 
X1 	 341 X2 	 -392 	 Y1 	 1560 Y2 1975 	 Z1 	 -314 Z2 	 392 
X1 	 -601 X2 	 58 	 Y1 	 1707 Y2 1949 	 Z1 	 4 Z2 	 702 
X1 	 296 X2 	 516 	 Y1 	 1650 Y2 2057 	 Z1 	 -141 Z2 	 1318 
X1 	 405 X2 	 -962 	 Y1 	 1584 Y2 1874 	 Z1 	 -303 Z2 	 -572 
X1 	 351 X2 	 -1161 	 Y1 	 1622 Y2 1863 	 Z1 	 -160 Z2 	 -174 
X1 	 322 X2 	 1171 	 Y1 	 1677 Y2 2138 	 Z1 	 -204 Z2 	 975 
X1 	 390 X2 	 161 	 Y1 	 1606 Y2 2247 	 Z1 	 -187 Z2 	 -3930 
X1 	 467 X2 	 -1952 	 Y1 	 1684 Y2 1992 	 Z1 	 -267 Z2 	 161 
X1 	 325 X2 	 -2451 	 Y1 	 1534 Y2 2098 	 Z1 	 -229 Z2 	 -582 
X1 	 115 X2 	 -956 	 Y1 	 1951 Y2 2377 	 Z1 	 -205 Z2 	 276 
